countyCode,countyName,cityCode,airport_code,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AD,Andorra,131416,PDE,Pas de la Casa,1029747,Frontera Blanca,2,Avenida D'encamp 39 AD200 Pas de la Casa ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Pas de la Casa Resort - 1.6 km / 1 mi <br /> Grau Roig Ski Resort - 7.9 km / 4.9 mi <br /> Soldeu Ski Resort - 9.1 km / 5.6 mi <br /> GrandValira - 12.4 km / 7.7 mi <br /> El Tarter Snow Park - 12.7 km / 7.9 mi <br /> Sant Joan de Caselles - 15.7 km / 9.7 mi <br /> Sant Serni Church - 16.7 km / 10.4 mi <br /> Palau de Gel - 16.9 km / 10.5 mi <br /> Mirador Roc del Quer - 22.5 km / 14 mi <br /> Caldea Spa - 27.5 km / 17.1 mi <br /> Placa del Poble - 28.3 km / 17.6 mi <br /> Pyrenees Andorra Shopping Centre - 28.5 km / 17.7 mi <br /> Casa de la Vall - 28.8 km / 17.9 mi <br /> Casa Rull - 29 km / 18 mi <br /> Postal Museum - 31.6 km / 19.7 mi <br /> </p><p>The nearest airports are:<br />Barcelona Intl. Airport (BCN) - 195.1 km / 121.2 mi<br /> La Seu d Urgell (LEU) - 54.2 km / 33.7 mi<br /> </p><p>The preferred airport for Apartamentos Frontera Blanca is Barcelona Intl. Airport (BCN). </p>,"<p>HeadLine : Near Pas de la Casa Resort</p><p>Location : With a stay at Apartamentos Frontera Blanca in Pas de la Casa, you ll be on the riverwalk, and 1.6 mi (2.6 km) from Pas de la Casa Resort and 5.6 mi (9.1 km) from Soldeu Ski Resort.  This ski apartment is 17.1 mi (27.5 km) from Caldea Spa and 24.2 mi (39 km) from Ax 3 Domaines Ski Resort.</p><p>Rooms : Make yourself at home in one of the 50 guestrooms, featuring kitchenettes with full-sized refrigerators/freezers and stovetops. 36-inch flat-screen televisions with digital programming provide entertainment, while complimentary wireless Internet access keeps you connected. Bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries. Conveniences include safes and microwaves, and housekeeping is provided once per stay.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul> <li>This property advises that enhanced cleaning and guest safety measures are currently in place.</li><li>The property is professionally cleaned, and disinfectant is used to clean the property.</li><li>Contactless check-out is available.</li><li>Each guestroom is kept vacant for a minimum of 24 hours  between bookings.</li></ul></p><p>Special Instructions : The front desk is open during the following times:<ul><li>Monday - Sunday: 8:30 AM - 1:00 PM</li></ul> <ul><li>Monday - Sunday: 8:00 AM - 8:00 PM</li></ul>To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 7:00 PM please contact the property in advance using the information on the booking confirmation. Guests planning to arrive outside of normal check-in hours must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",376-855269,Safe-deposit box at front desk Ski storage Ski-in/ski-out access Luggage storage Distance from property (meters) - 50 ATM/banking Street parking Wheelchair accessible (may have limitations) Parking (limited spaces) Accessible bathroom Roll-in shower Wheelchair accessible parking In-room accessibility Wheelchair-accessible path to elevator Multilingual staff Ski passes available elevator Well-lit path to entrance Lockers available Covered parking Tours/ticket assistance Free WiFi Self parking (surcharge) Smoke-free property Bingo Wheelchair-accessible registration desk,42.539416|1.733351,376755000,AD200,http://www.fronterablanca.ad
AR,Argentina,110433,BAR,Bariloche,1564455,Solar de las Araucarias,3,Bustillo 7713 8400 San Carlos de Bariloche ,,,5.42944E+11,,-41.12167|-71.39811,5.42944E+11,8400,https://www.booking.com/hotel/ar/aparts.html
AR,Argentina,110433,BAR,Bariloche,1564587,Hotel Puerto Blest,3,Puerto Blest Rio Negro ,,"Surrounded by the Andes Mountains, Hotel Puerto Blest offers comfortable accommodations in Puerto Blest. They property is accessible only via a boat ride, included in the rate. Guests can enjoy a hot tub and an on site bar

Certain rooms include a seating area where you can relax. Certain units feature views of the lake or river. Hotel Puerto Blest features free WiFi throughout the property.

There is a shared lounge at the property.

Guests can enjoy various activities in the surroundings, including cycling, fishing and hiking. San Carlos de Bariloche is 44 km from Hotel Puerto Blest, while Villa La Angostura is 32 km away. San Carlos De Bariloche Airport is 56 km from the property. Please note that the property is only accessible by boat. The boat can leave from Puerto Pa�uelo (a 1 hour 15 minutes ride) or from Chile. Guests are advised to check the boats schedule beforehand. Access to the property is included in the rate. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation for further details.",,face masks for guests available delivered food is securely covered guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized screens or physical barriers placed between staff and guests in appropriate areas physical distancing rules followed cashless payment available contactless check-in/check-out first aid kit available process in place to check health of guests hand sanitizer in guest accommodation and key areas shared stationery such as printed menus  magazines  pens  and paper removed Pool with view wifi available in all areas Beachfront shared lounge/TV area shuttle service (additional charge) indoor pool (all year) designated smoking area Free WiFi Indoor pool wifi Heating Tour desk Cycling Packed lunches Hiking Hot tub/jacuzzi Safety Deposit Box internet services Games room Family rooms Fishing Non-smoking rooms Garden Bar staff follow all safety protocols as directed by local authorities physical distancing in dining areas guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus guests have the option to reuse towels no single-use plastics Swimming pool Walking tours Shallow end pool/beach towels Plunge pool Heated pool meeting/banquet facilities Room service Restaurant,-41.02487|-71.81416,5.49294E+12,8400,https://www.booking.com/hotel/ar/puerto-blest.html
AR,Argentina,112153,BAI,Buenos Aires,1228102,Reino Del Plata Hotel Boutique,4,"Avenida Hipolito Yrigoyen, 647 BUENOS AIRES ",Puerto Madero: within 500 metre  Florida: within 100 metre  Obelisco: within 700 metre  Plaza de Mayo: within 150 metre ,"This beautiful boutique hotel is located in the heart of the city of Buenos Aires, close to most of the historic sites. This hotel is an oasis in the centre of the Argentinean capital, just a few meters from Florida Street, Government House, Plaza de Mayo and Puerto Madero new commercial district. San Telmo neighbourhood is a few minutes' walk away.",,Room service Laundry service Launderette Medical service Bicycle hire service Multilingual staff 24-hour security Bellboy service Air conditioning in public areas Smoke detector Hotel safe Currency exchange facilities Cloakroom Lift access Shop Terrace Sun terrace Luggage room Bar Non-smoking area Banquet hall Breakfast room Conference room Meeting room Projector Secretarial service Printer Photocopier Business centre Audio-visual equipment rental Fax Hot tub Breakfast buffet Hotel American Express MasterCard Visa Bathroom Bathtub Hairdryer Toiletries Direct dial telephone TV Cable TV 220V power supply Minibar Individually adjustable air conditioning Safe Desk Smoke detector Housekeeping Soundproof room Car hire Transfer service,-34.609285|-58.375566,,1086,www.hotelreinodelplata.com.ar
AR,Argentina,112153,BAI,Buenos Aires,1232264,Rochester Hotel Concept,3,Maip� 572 C1006ACF Buenos Aires ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lavalle Street - 0.1 km / 0.1 mi <br /> Florida Street - 0.2 km / 0.1 mi <br /> Sociedad Rural Argentina - 0.3 km / 0.2 mi <br /> 9 de Julio Avenue - 0.3 km / 0.2 mi <br /> Galerias Pacifico - 0.3 km / 0.2 mi <br /> Gran Rex Theatre - 0.4 km / 0.3 mi <br /> Teatro Colon - 0.6 km / 0.4 mi <br /> Plaza San Martin - 0.7 km / 0.4 mi <br /> Obelisco - 0.7 km / 0.4 mi <br /> Centro Cultural Kirchner - 0.9 km / 0.6 mi <br /> Buenos Aires Metropolitan Cathedral - 0.9 km / 0.6 mi <br /> Luna Park Stadium - 0.9 km / 0.6 mi <br /> Cabildo - 1 km / 0.6 mi <br /> Cafe Tortoni - 1 km / 0.6 mi <br /> Plaza de Mayo - 1.1 km / 0.7 mi <br /> </p><p>The nearest airports are:<br />Ministro Pistarini Intl. Airport (EZE) - 32.3 km / 20.1 mi<br /> Buenos Aires (AEP-Aeroparque Jorge Newbery) - 13.4 km / 8.3 mi<br /> </p><p>The preferred airport for RH Rochester Concept is Ministro Pistarini Intl. Airport (EZE). </p>,"<p>HeadLine : Near Obelisco</p><p>Location : With a stay at RH Rochester Concept, you ll be centrally located in Buenos Aires, steps from Florida Street and within a 5-minute walk of Galerias Pacifico.  This hotel is 0.9 mi (1.4 km) from Casa Rosada and 1 mi (1.5 km) from Buenos Aires Metropolitan Cathedral.</p><p>Rooms : Make yourself at home in one of the 76 individually decorated guestrooms, featuring minibars and LCD televisions. Your bed comes with down comforters and premium bedding. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature rainfall showerheads and complimentary toiletries.</p><p>Dining : Satisfy your appetite at the hotel s coffee shop/cafe, or stay in and take advantage of the room service (during limited hours). Buffet breakfasts are available daily from 8 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>This property reserves the right to pre-authorize the guest s credit card prior to arrival.</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",54-11-43261063,Dry cleaning/laundry service Street parking Number of meeting rooms - 1 Free WiFi Free newspapers in lobby Wedding services Tours/ticket assistance Airport transportation (surcharge) Wheelchair accessible � no Luggage storage Porter/bellhop Multilingual staff Business center 24-hour front desk Breakfast available (surcharge) Library Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Laundry facilities elevator Offsite parking discounted rates available Offsite parking reservations required Concierge services,-34.601415|-58.376799,54-11-52561055,C1006ACF,http://www.rochester-hotel.com.ar/index.php?lang=es&home=concept&sec=inicio
AR,Argentina,112153,BAI,Buenos Aires,1648949,Hostel Soleil,5,Peru 1043 1068 Buenos Aires ,,"Featuring a garden and a terrace, Hostel Soleil offers accommodations with free WiFi access in Buenos Aires. The guestrooms and common areas at the property feature a lively d�cor, and a daily breakfast is served. Museo de Arte Moderno de Buenos Aires is 300 metres away.

The comfortable guestrooms at Hostel Soleil feature air conditioning, a safety deposit box and a wardrobe. Some include views of the garden. Bathroom facilities are shared.

Guests at Hostel Soleil can make use of the shared kitchen and buy souvenirs at the gift shop. Barbecue facilities are also available.  Bicycles to tour the surroundings can be rented at the property and tourist information can be provided. Airport shuttles can be arranged.

Plaza de Mayo Square is 1.3 km from Hostel Soleil, while Cabildo is 1.3 km away. Aeroparque Jorge Newbery Airport is 8 km from the property. Please note the based on local tax laws, all Argentinian citizens and resident foreigners must pay an additional fee (VAT) of 21%. Only foreigners who pay with a foreign credit card, debit card or via bank transfer are exempt from this 21% additional fee (VAT) in accommodation and breakfast when presenting a foreign passport or a foreign ID along with a supporting document handed by the national migrations authority, if applicable.",,Garden Terrace Airport shuttle Laundry Games room internet services Currency exchange Table tennis Library BBQ facilities Tour desk Heating Ticket service Luggage storage wifi Free WiFi Air conditioning designated smoking area Sun terrace concierge service airport shuttle (additional charge) Shared kitchen shared lounge/TV area wifi available in all areas board games/puzzles Indoor play area kids' outdoor play equipment Movie nights Fire extinguishers,-34.62015|-58.37429,,C1068AAK,https://www.booking.com/hotel/ar/homstel-soleil-buenos-aires1.html
AR,Argentina,112153,BAI,Buenos Aires,1868856,Las Barrancas Apart Deportivo & Spa,5,Ruta 86 km 1.4 7630 Necochea ,,"Situated in Necochea, Las Barrancas Apart & Spa features accommodation with free WiFi, a garden with a terrace, and access to an indoor swimming pool and a sauna.

All units feature a satellite flat-screen TV, a private bathroom with shower and a fully equipped kitchen.

Guests at the aparthotel can enjoy a continental breakfast.

The spa and wellness centre at Las Barrancas Apart & Spa features a hot tub.

Guests can also relax in the shared lounge area.

The nearest airport is Astor Piazzolla International Airport, 133 km from the accommodation. A damage deposit of USD 35 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.",,Swimming pool bicycle rental invoice provided Parking meeting/banquet facilities 24-hour front desk Tennis Court Sauna Garden Terrace Picnic area Spa Facilities Spa lounge/relaxation area Swimming pool 24-hour security Key card access CCTV in common areas CCTV outside property Fire extinguishers Business centre Family rooms Free parking internet services lift Solarium Safety Deposit Box Spa and wellness centre Massage Hot tub/jacuzzi Tour desk Heating wifi Indoor pool Free WiFi Non-smoking throughout Air conditioning Snack Bar Sun terrace indoor pool (all year) concierge service Private check-in/check-out shared lounge/TV area parking on site Private parking board games/puzzles Indoor play area kids' outdoor play equipment Pool with view Heated pool Pool cover tennis equipment sun loungers or beach chairs Sun umbrellas Outdoor furniture,-38.53309|-58.7431,,7630,https://www.booking.com/hotel/ar/las-barrancas-apart-amp-spa.html
AR,Argentina,112153,BAI,Buenos Aires,5934733,629 Serrano,5,Serrano 629 Piso 5To Depto 02  ,,,,,-34.5973584|-58.4372003,,1414,
AR,Argentina,112153,BAI,Buenos Aires,5934967,Casa Margarita San Telmo,5,Calle Per� 1216 Pis7 Depto B  ,,,,,-34.62221|-58.37404,,1141,
AR,Argentina,114337,COL,Colon,1006043,La Casona de Susana,2,Av. Paysandu Y 3 De Febrero 3280 ColonEntre Rios ,,"Offering an outdoor swimming pool, La Casona de Susana has comfortable rooms in Col�n, only 140 metres from Norte Beach and 400 metres from Colon thermal complex. There is free WiFi in public areas and a daily continental breakfast is provided. El Palmar National Park is 40 km away from property.

Rooms at La Casona de Susana are equipped with a refrigerator and heating. Featuring a shower, private bathrooms also come with free toiletries and towels. Some rooms include minibars and some rooms are air-conditioned.

A wide array of activities are available in the area, including boat excursions to the virgin islands and sand banks in the river.

The local shopping mall is 900 metres away from La Casona de Susana. The property offers free parking and is 5 blocks from Colon Bus Terminal Station. Please inform La Casona de Susana in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
It is not possible to stay at this property for Coronavirus (COVID-19) quarantine purposes.
PISCINA  CON HORARIOS is closed from Thu 02 Mar 2023 until Fri 08 Dec 2023
Please note the based on local tax laws, all Argentinian citizens and resident foreigners must pay an additional fee (VAT) of 21%. Only foreigners who pay with a foreign credit card, debit card or via bank transfer are exempt from this 21% additional fee (VAT) in accommodation and breakfast when presenting a foreign passport or a foreign ID along with a supporting document handed by the national migrations authority, if applicable.

Please note that the pool is open from 8 December until 8 march.",+54(0)3447424855,Parking Room service Golf course (within 3 km) Terrace Non-smoking rooms Fishing Family rooms breakfast in the room Ironing service Free parking internet services Currency exchange Massage Darts Hot tub/jacuzzi Canoeing Hiking BBQ facilities Cycling Tour desk Heating Horse riding Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace outdoor pool (seasonal) concierge service shuttle service (additional charge) Trouser press Water park Daily housekeeping grocery deliveries Private parking Public Bath board games/puzzles Kid meals Kid-friendly buffet Parking garage Fruits coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Fence around pool Picnic area Outdoor fireplace Spa Facilities Spa lounge/relaxation area Back massage Neck massage Foot massage Hand massage Massage chair Swimming pool Beach Shuttle service Walking tours Bike tours Tour or class about local culture Cooking class Key access Fire extinguishers Swimming pool bicycle rental delivered food is securely covered thermometers for guests provided by property use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers,-32.21347|-58.14277,5.43447E+11,3280,https://www.booking.com/hotel/ar/la-casona-de-susana-colon.html
AR,Argentina,114337,COL,Colon,1399623,Hotel El Colonial,3,Bernard 326 E3280AOH Colon ,,"Boasting barbecue facilities, a garden as well as a terrace, Hotel El Colonial is situated in Col�n, 2 km from Colon Bus Station. This 3-star hotel offers a 24-hour front desk. Guests can make use of a shared lounge.

Free WiFi is accessible to all guests, while selected rooms also feature a DVD player.

A continental breakfast is available daily at the hotel.

Termas de Colon is 3 km from Hotel El Colonial. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Free self parking Room service 24-hour front desk Garden Terrace Non-smoking rooms Family rooms Internet access BBQ facilities Tour desk Heating Luggage storage Free WiFi Free WiFi Non-smoking throughout Air conditioning Concierge services Television in common areas Daily housekeeping Street parking,-32.22949|-58.1333,,3280,https://www.booking.com/hotel/ar/el-colonial.html
